gssvar,s,q,r
inthisp,not hispanic,not hispanic,cuban
WHOELSE4,yes,,yes
feeused,"yes, money",,no
lngthinv,79,,193
intage,60,,53
intethn,white,,hispanic
mode,in-person,,na
intyrs,0,2,15
consent,r consents to recording interview,r consents to recording interview,r consents to recording interview
version,2,,2
sampcode,601,,640
phase,phase one - initial cases,,phase one - initial cases
spaneng,english,,spanish
huadd,yes,,yes
dwellpre,"apartment house (5 or more units, 3 stories or less)",detached single family house,trailer
kidsinhh,yes,,yes
respond,low,,low
incuspop,lower than average,,average
rlooks,attractive,,about average
rweight,slightly overweight,,about the right weight
rhlthend,fair,,good
wtss,c,,e
vpsu,2,,2
