gssvar,s,q,r
ODDS1,no,,no
hotcore,True,,True
boyorgrl,True,,False
earthsun,sun around earth,,earth around sun
hsbio,no,yes,no
hschem,no,,yes
hsphys,no,yes,no
nanowill,harmful results greater,benefits greater,harmful results greater
nanoharm,strongly in favor,slightly in favor,strongly in favor
intintl,not at all interested,,very interested
intfarm,moderately interested,very interested,very interested
inttech,moderately interested,not at all interested,moderately interested
intmil,not at all interested,,moderately interested
visnhist,c,c,d
vissci,c,,c
scientod,disagree,,disagree
scientbe,strongly agree,,strongly agree
compwage,e,,c
numorg,e,c,e
marcohab,"not married, no cohabitating partner",married,"not married, missing on cohabitating"
trcourts,e,,d
intcntct,e,,c
healthissp,poor,very good,excellent
meovrwrk,disagree,,neither agree nor disagree
hapunhap,fairly happy,,not very happy
XMARSEX1,always wrong,,always wrong
concong,very little confidence,,a great deal of confidence
conbiz,some confidence,a great deal of confidence,very little confidence
conchurh,a great deal of confidence,some confidence,complete confidence
concourt,some confidence,very little confidence,some confidence
conschls,some confidence,a great deal of confidence,some confidence
clergvte,strongly agree,,strongly disagree
godchnge,"believe now, always have",,"believe now, didn't used to"
afterlif,"yes, probably",,"yes, definitely"
hell,"yes, probably",,"no, definitely not"
miracles,"yes, probably",,"no, definitely not"
theism,agree,,strongly disagree
nihilism,disagree,,strongly agree
marelkid,catholic,catholic,orthodox-christian
parelkid,catholic,protestant,buddhism
religkid,catholic,,protestant
relscrpt,yes,,yes
trustsci,not agree/dsagre,,strong disagree
relmarry,probably accept,,definitely not accept
RELEXT1,probably not,,definitely not
RELEXT3,probably not,,definitely not
relgeneq,treats men better than women,,treats men better than women
relobjct,yes,yes,no
makefrnd,agree,agree,neither agree nor disagree
relgenbar,neither agree nor disagree,strongly disagree,neither agree nor disagree
govvsrel,agree,,strongly agree
relpast,disagree,strongly disagree,agree
relrlvnt,disagree,,strongly agree
muslims,neither positive nor negative,,somewhat negative
hindus,neither positive nor negative,,neither positive nor negative
nukegen,extremely dangerous,not dangerous,very dangerous
indusgen,very dangerous,very dangerous,not dangerous
watergen,somewhat dangerous,,somewhat dangerous
tempgen,very dangerous,,not dangerous
nummen,e,,e
HIVTEST1,e,e,c
GENETST1,not very much,not very much,not very much
GENESELF2,yes,,yes
realrinc,e,,d
coninc,c,,c
conrinc,e,,e
hispanic,not hispanic,,salvadorian
mnthsusa,e,,c
vetyears,none,,less than 2 yrs
dwelown,pays rent,,other
worda,correct,correct,incorrect
wordd,correct,,correct
worde,correct,incorrect,correct
wordi,correct,correct,correct
wordsum,c,c,a
MAR1,divorced,,never married
OLD2,e,,e
OLD5,e,,e
OLD6,e,e,e
OLD7,e,,e
OLD12,e,,e
hefinfo,1st person,1st person,2nd person
hhrace,white,,amer indian
hhtype,"1adlt,0kids",,"3adlts,3mar,sp,rel,0kids"
HHTYPE1,single adult,"married couple, no children","married couple, no children"
visitors,no visitors,,no visitors
dateintv,810,526,1030
ISCO88,c,,c
PAISCO88,c,c,b
MAISCO88,c,,c
SPISCO88,e,,d
PAISCO08,"metal finishing, plating and coating machine operators",,personnel and careers professionals
SEI10,c,d,b
SEI10EDUC,c,c,b
MASEI10,c,,e
MASEI10EDUC,c,c,c
MASEI10INC,b,c,d
SPSEI10INC,e,,d
COSEI10,e,,c
COPRES10,e,e,d
COPRES105PLUS,e,,c
zodiac,leo,,libra
WHOELSE1,no,,yes
WHOELSE2,no,,no
WHOELSE3,no,,no
WHOELSE4,no,yes,yes
WHOELSE5,no,no,yes
WHOELSE6,yes,,no
feelevel,d,,b
intage,68,,61
intethn,white,,hispanic
intsex,female,,male
intyrs,23,,5
consent,r consents to recording interview,r consents to recording interview,r consents to recording interview
ballot,ballot a,,ballot c
issp,did issp,did issp,didnt do issp
phase,phase one - initial cases,,phase two - sub sampled cases
spaneng,english,,spanish
huadd,yes,yes,no
kidsinhh,no,,yes
respond,high,,low
neisafe,somewhat safe,,very safe
wtssnr,c,,c
vstrat,3301,,3363
vpsu,2,,1
