gssvar,s,q,r
fejobaff,strongly against,,strongly against
vigversn,e,,d
CLOSETO1,e,,b
CLOSETO2,e,,d
CLOSETO4,e,,b
SEETALK2,e,,d
SEETALK3,e,,b
SEETALK4,e,,c
MYPROBS1,e,e,d
SEVERE1,e,,c
SEVERE3,e,,e
SEVERE5,e,,e
DANGOTH1,e,,d
DANGOTH3,e,,d
DANGOTH4,e,,d
DANGSLF3,e,e,c
sprtprsn,very spiritual,modeate spirtual,modeate spirtual
compuse,yes,yes,yes
wwwmin,c,c,e
wrktype,"regular, permanent employee",,"on-call, work only when called to work"
yearsjob,c,,d
moredays,c,,c
mustwork,no,,no
workfast,strongly agree,,agree
myskills,strongly agree,,disagree
respect,strongly agree,,strongly agree
safefrst,strongly agree,,strongly disagree
prodctiv,disagree,,strongly disagree
wksmooth,agree,,agree
partteam,"no, i work mostly on my own","yes, i work as part of a team","no, i work mostly on my own"
wkdecide,sometimes,,never
toofewwk,often,sometimes,often
hlpequip,somewhat true,,somewhat true
haveinfo,somewhat true,,not at all true
fringeok,somewhat true,,somewhat true
supcares,somewhat true,very true,not at all true
manvsemp,very good,,quite bad
hvylift,no,,no
handmove,no,yes,yes
wkpraise,maybe,maybe,maybe
rincblls,yes,yes,no
laidoff,no,no,yes
wkageism,no,,no
wkharsex,no,no,no
wkharoth,no,,no
HEALTH1,good,,very good
physhlth,c,c,c
mntlhlth,e,,e
usedup,sometimes,,very often
hurtatwk,c,c,c
spvtrfair,very true,,very true
phyeffrt,very light,fairly light,hard
slpprblm,sometimes,,often
diabetes,no,,yes
weight,d,e,b
ntwkhard,c,,d
misswork,c,,c
lifenow,c,,a
disrspct,a few times a month,,never
notsmart,never,,a few times a month
afraidof,never,less than once a year,never
hlthphys,good,good,good
emoprobs,c,c,b
ratepain,c,,c
abmelegl,it depends,should,it depends
ABSTATE1,neither easy nor hard,,very hard
ABSTATE2,make it harder,,make it easier
ABHELP2,yes,,no
ABHELP3,yes,,yes
ABHELP4,yes,,yes
abinspay,people should be able,,people should be able
ownstock,i do not know if i own stock in my company,,yes
stockops,no,,no
extrapay,yes,,no
compperf,no,yes,no
indperf,yes,,yes
EXTR2017,yes,,no
extraval,e,e,c
extrayr,c,,c
nextgen,strongly agree,,disagree
toofast,disagree,strongly agree,strongly agree
astrolgy,no,,no
scibnfts,harmful results greater,,about equal if volunteered
balneg,slightly in favor,slightly in favor,strongly in favor
boyorgrl,True,True,False
lasers,False,,False
electron,True,,True
evolved,False,,True
solarrev,one year,,one year
majorcol,communications/speech,,comm. disorders
hsbio,yes,,yes
hschem,yes,,yes
nanowill,benefits greater,,benefits greater
nanoben,slightly in favor,,strongly in favor
intintl,moderately interested,,very interested
intfarm,moderately interested,very interested,moderately interested
intsci,very interested,,not at all interested
intecon,very interested,not at all interested,not at all interested
inttech,moderately interested,moderately interested,very interested
intmed,very interested,,very interested
SCINEWS3,science site,,no answer
scientgo,strongly agree,,strongly disagree
numorg,e,e,d
defpensn,yes,,yes
buyesop,i would be neither more nor less likely to buy from an employee-owned company,,i would be more likely to buy from an employee-owned company
ratetone,e,,c
marcohab,"not married, no cohabitating partner",,"not married, cohabitating partner"
trcourts,e,,d
trbigbus,e,c,c
intcntct,e,,c
healthissp,good,very good,poor
hubbywrk,neither agree nor disagree,agree,agree
marhomo,strongly disagree,,strongly agree
meovrwrk,agree,,neither agree nor disagree
SATFAM7,fairly satisfied,,fairly satisfied
hapunhap,fairly happy,,not very happy
concong,some confidence,,a great deal of confidence
conchurh,some confidence,some confidence,complete confidence
concourt,very little confidence,,some confidence
clergvte,disagree,,disagree
godchnge,"believe now, didn't used to","believe now, always have","don't believe now, used to"
afterlif,"yes, definitely",,"yes, probably"
heaven,"yes, definitely",,"yes, definitely"
hell,"yes, definitely",,"no, probably not"
miracles,"yes, definitely",,"no, definitely not"
fatalism,strongly disagree,,disagree
godmeans,disagree,agree,agree
nihilism,strongly disagree,,disagree
religkid,protestant,,native american
denkid,"baptist, dk which",,churches of god(except with christ and holiness)
attendma,every week,,several times a yr
ATTEND12,every week,,nearly every week
prayfreq,several times a week,,nearly every week
relactiv,several times a year,,about once a month
relscrpt,yes,no,no
trustsci,strongly agree,,agree
religcon,agree,,strongly agree
relmarry,probably not accept,definitely accept,probably accept
ancestrs,"no, definitely not",,"no, probably not"
relgeneq,treats women better than men,,treats women better than men
vistholy,never,,several times a year
relgenbar,disagree,,strongly agree
govvsrel,strongly agree,strongly agree,agree
difrel,disagree,strongly agree,strongly agree
muslims,somewhat negative,,very negative
hindus,neither positive nor negative,,neither positive nor negative
buddhsts,neither positive nor negative,neither positive nor negative,somewhat negative
atheists,somewhat negative,,very negative
nukegen,extremely dangerous,,somewhat dangerous
watergen,extremely dangerous,extremely dangerous,not very dangerous
tempgen,extremely dangerous,,not dangerous
genegen,somewhat dangerous,,very dangerous
numwomen,e,c,c
nummen,e,,c
maleornt,r sexual orientation uncertain,,r is not homosexual/gay
GENEABRT2,no,no,yes
realinc,e,,d
realrinc,e,,c
coninc,e,,b
ETH1,germany,france,india
ETH2,scotland,,belgium
RACECEN1,white,,vietnamese
dwelling,detached 1-fam house,,apartment-4 stories
DWELOWN16,owned or was buying,owned or was buying,owned or was buying
wordb,correct,,correct
worde,correct,,incorrect
wordg,incorrect,correct,correct
wordh,correct,,correct
wordi,correct,,correct
wordj,correct,,correct
wordsum,d,,e
OLD1,e,,e
RELATE2,non-relative,,grand or great-grandchild
GENDER2,female,female,male
RELATE4,non-relative,,grand or great-grandchild
GENDER4,male,,male
MAR4,never married,,widowed
RELATE5,non-relative,,grand or great-grandchild
OLD5,e,,d
OLD6,e,e,c
OLD7,e,e,b
OLD10,e,e,b
RELHHD2,"partner,fiance-e-,boyfriend,girlfriend,etc",,niece or nephew
RELHHD3,"roommate,housemate","brother,sister-full,half, or step sibling-","brother,sister-full,half, or step sibling-"
RELHHD5,"roommate,housemate",,"child,natural or adopted,stepchild"
hhrace,"other, mixed",,amer indian
respnum,4th person,,5th person
HHTYPE1,"unsure, no children",,"married couple, no children"
famgen,1 gen,,"2 gens, children"
rplace,non-relative,,parent or parent-in-law
RELHH3,"roommate, housemate",,child of non-relative
RELHH5,"roommate, housemate",,"partner,girl(boy)friend"
RELSP3,"roommate, housemate",,parent
RELSP4,"roommate, housemate","child, not specified",child of non-relative
dateintv,907,1004,513
SPISCO88,e,,b
ISCO08,personnel and careers professionals,restaurant managers,nursing professionals
PAISCO08,mail carriers and sorting clerks,,pet groomers and animal care workers
MAISCO08,shop sales assistants,,product graders and testers (excluding foods and beverages)
SEI10,c,,e
SEI10EDUC,c,,d
PASEI10INC,d,,b
MASEI10,c,,c
MASEI10INC,c,,b
COSEI10,e,,e
COSEI10EDUC,e,,d
COSEI10INC,e,,b
COPRES105PLUS,e,,c
uswary,yes,,yes
WHOELSE1,no,,no
WHOELSE3,no,,no
WHOELSE4,no,,no
WHOELSE5,no,no,yes
intid,125,,65
feeused,"yes, money",,no
feelevel,d,,d
mode,over the phone,over the phone,na
ballot,ballot a,ballot a,ballot a
sampcode,601,,609
huadd,yes,,yes
kidsinhh,yes,,yes
wtssall,e,c,e
