,0,1
273,hurtself,HOW LIKELY X VIOLENT TOWARD ONESELF
274,tlkfam,X SHOULD TALK TO FAMILY AND FRIENDS
275,tlkclrgy,X SHOULD TALK TO RELIGIOUS LEADER
276,meddoc,X SHOULD GO TO GENERAL MEDICAL DOCTOR FOR HELP
277,mentldoc,X SHOULD GO TO PSYCHIATRIST FOR HELP
278,mentloth,X SHOULD GO TO OTHER MENTAL HEALTH PROFESSIONAL FOR HELP
279,sphealer,X SHOULD GO TO SPIRITUAL HEALER FOR HELP
280,selfhelp,X SHOULD JOIN A SELF-GROUP WITH SIMILAR PROBLEM
281,otcmed,X SHOULD TAKE NON-PRESCRIPTION MEDICATION
282,rxmed,X SHOULD TAKE PRESCRIPTION MEDICATION
283,mentlhos,X SHOULD CHECK INTO A MENTAL HOSPITAL
284,dofirst,WHICH OF THESE THINGS SHOULD R DO FIRST
285,mustdoc,X SHOULD BE FORCED TO BE EXAMINED AT A CLINIC BY LAW
286,mustmed,X SHOULD BE FORCED TO TAKE PRESCRIBED MEDICATION BY LAW
287,musthosp,X SHOULD BE ADMITTED TO BE HOSPITALIZED FOR TREATMENT BY LAW
288,dangrslf,X SHOULD BE ADMITTED TO BE HOSPITALIZED FOR TREATMENT IF DANGEROUS TO X
289,dangroth,X SHOULD BE ADMITTED TO BE HOSPITALIZED FOR TREATMENT IF DANGEROUS TO OTHERS
290,fammhneg,R'S FAMILY'S NEGATIVE ATTITUDES ABOUT MH PROBLEMS
291,othmhneg,R'S OTHER ACQUAINTENCES NEGATIVE ATTITUDES ABOUT MH PROBLEMS
292,diagnosd,R EVER DIAGNOSED WITH MH PROBLEM
293,mhtreatd,R EVER TREATED FOR MH PROBLEM
294,relpersn,R CONSIDER SELF A RELIGIOUS PERSON
295,sprtprsn,R CONSIDER SELF A SPIRITUAL PERSON
296,othlang,CAN R SPEAK LANGUAGE OTHER THAN ENGLISH/SPANISH
297,spklang,HOW WELL DOES R SPEAK OTHER LANGUAGE
298,betrlang,WHICH LANGUAGE R SPEAKS MORE FLUENT
299,compuse,R USE COMPUTER
300,webmob,R USES HOME INTERNET THROUGH MOBILE DEVICE
301,emailmin,EMAIL MINUTES PER WEEK
302,emailhr,EMAIL HOURS PER WEEK
303,usewww,R USE WWW OTHER THAN EMAIL
304,wwwhr,WWW HOURS PER WEEK
305,wwwmin,WWW MINUTES PER WEEK
306,huclean,R HU INTERIOR CLEANLINESS RATING
307,wrktype,WORK ARRANGEMENT AT MAIN JOB
308,yearsjob,TIME AT CURRENT JOB
309,waypaid,HOW PAID IN MAIN JOB
310,wrksched,USUAL WORK SCHEDULE
311,moredays,DAYS PER MONTH R WORK EXTRA HOURS
312,mustwork,MANDATORY TO WORK EXTRA HOURS
313,wrkhome,HOW OFTEN R WORKS AT HOME
314,whywkhme,USUAL REASON R WORK AT HOME
315,famwkoff,HOW HARD TO TAKE TIME OFF
316,wkvsfam,HOW OFTEN JOB INTERFERES FAM LIFE
317,famvswk,HOW OFTEN FAM LIFE INTERFERE JOB
318,hrsrelax,HOURS PER DAY R HAVE TO RELAX
319,secondwk,R HAS JOB OTHER THAN MAIN
320,learnnew,JOB REQUIRES R TO LEARN NEW THINGS
321,workfast,JOB REQUIRES R TO WORK FAST
322,workdiff,R DOES NUMEROUS THINGS ON JOB
323,overwork,R HAS TOO MUCH WORK TO DO WELL
324,knowwhat,R KNOWS WHAT'S EXPECTED ON JOB
325,myskills,JOB ALLOWS R USE OF SKILLS
326,respect,R TREATED WITH RESPECT AT WORK
327,trustman,R TRUST MANAGEMENT AT WORK
328,safetywk,WORKER SAFETY PRIORITY AT WORK
329,safefrst,NO SHORTCUTS ON WORKER SAFETY
330,teamsafe,MGT AND EMPLOYEES WORK TOGETHER RE SAFETY
331,safehlth,SAFETY AND HEALTH CONDITION GOOD AT WORK
332,proudemp,R PROUD TO WORK FOR EMPLOYER
333,prodctiv,WORK CONDITIONS ALLOW PRODUCTIVITY
334,wksmooth,WORKPLACE RUNS IN SMOOTH MANNER
335,trdunion,WORKERS NEED STRONG UNIONS
336,partteam,R WORK AS PART OF A TEAM
337,wkdecide,HOW OFTEN R TAKE PART IN DECISIONS
338,toofewwk,HOW OFTEN NOT ENOUGH STAFF
339,promteok,R'S CHANCES FOR PROMOTION GOOD
340,opdevel,OPPORTUNITY TO DEVELOP MY ABILITIES
341,hlpequip,ENOUGH HELP AND EQUIP TO GE THE JOB DONE
342,haveinfo,ENOUGH INFO TO GET THE JOB DONE
343,wkfreedm,A LOT OF FREEDOM TO DECIDE HOW TO DO JOB
344,fringeok,FRINGE BENEFITS ARE GOOD
345,supcares,SUPERVISOR CONCERNED ABOUT WELFARE
346,condemnd,R FREE FROM CONFLICTING DEMANDS
347,promtefr,PROMOTIONS ARE HANDLED FAIRLY
348,cowrkint,COWORKERS TAKE A PERSONAL INTEREST IN R
349,jobsecok,THE JOB SECURITY IS GOOD
350,suphelp,SUPERVISOR HELPFUL TO R IN GETTING JOB DONE
351,wrktime,R HAS ENOUGH TIME TO GET THE JOB DONE
352,cowrkhlp,COWORKERS CAN BE RELIED ON WHEN R NEEDS HELP
353,manvsemp,RELATIONS BW MANAGEMENT AND EMPLOYEES
354,hvylift,R DO REPEATED LIFTING
355,handmove,R PERFORM FORCEFUL HAND MOVEMENTS
356,wkpraise,R IS LIKELY TO BE PRAISED BY SUPERVISOR
357,fairearn,HOW FAIR IS WHAT R EARN ON THE JOB
358,rincblls,INCOME ALONE IS ENOUGH
359,laidoff,R WAS LAID OFF MAIN JOB LAST YEAR
360,trynewjb,HOW LIKELY R MAKE EFFORT FOR NEW JOB NEXT YEAR
361,wkageism,R FEELS DISCRIMINATED BECAUSE OF AGE
362,wkracism,R FEELS DISCRIMINATED BECAUSE OF RACE
363,wksexism,R FEELS DISCRIMINATED BECAUSE OF GENDER
364,wkharsex,R SEXUALLY HARASSED ON THE JOB LAST 12 MONTHS
365,wkharoth,R THREATENED ON THE JOB LAST 12 MONTHS
366,physhlth,DAYS OF POOR PHYSICAL HEALTH PAST 30 DAYS
367,mntlhlth,DAYS OF POOR MENTAL HEALTH PAST 30 DAYS
368,hlthdays,DAYS OF ACTIVITY LIMITATION PAST 30 DAYS
369,usedup,HOW OFTEN DURING PAST MONTH R FELT USED UP
370,backpain,R HAD BACK PAIN IN THE PAST 12 MONTHS
371,painarms,R HAD PAIN IN THE ARMS IN THE PAST 12 MONTHS
372,hurtatwk,NUMBER OF INJURIES ON THE JOB PAST 12 MONTHS
373,spvtrfair,SUPERVISOR IS FAIR
374,strredpg,ACCESS TO STRESS MANAGEMENT
375,phyeffrt,RATE PHYSICAL EFFORT
376,slpprblm,TROUBLE SLEEPING LAST 12 MONTHS
377,knowschd,HOW FAR IN ADVANCE KNOW WORK SCHEDULE
378,usetech,PERCENTAGE OF TIME USE TECH
379,hyperten,TOLD HAVE HYPERTENSION OR HIGH BLOOD PRESSURE
380,arthrtis,TOLD HAVE ARTHRITIS OR RHEUMATISM
381,diabetes,TOLD HAVE DIABETES
382,depress,TOLD HAVE DEPRESSION
383,weight,R WEIGHS HOW MUCH
384,height,R IS HOW TALL
385,ntwkhard,PAST WEEK NOT WORK HARD ENOUGH
386,misswork,MISS WORK FOR HEALTH PAST 30 DAYS
387,lifenow,R'S RATING OF LIFE OVERALL NOW FROM 0-10
388,disrspct,R IS TREATED WITH LESS COURTESY OR RESPECT THAN OTHERS
389,poorserv,R RECIEVES POORER SERVICE IN RESTAURANTS OR STORES
390,notsmart,PEOPLE ACT AS IF THEY THINK R IS NOT SMART
391,afraidof,PEOPLE ACT AS IF THEY ARE AFRAID OF R
392,threaten,R IS THREATENED OR HARASSED
393,quallife,R'S QUALITY OF LIFE
394,hlthphys,R'S PHYSICAL HEALTH
395,hlthmntl,"R'S MENTAL HEALTH, MOOD, AND ABILITY TO THINK"
396,satsoc,R'S SATISFACTION WITH SOCIAL ACTIVITIES AND RELATIONSHIPS
397,actssoc,HOW WELL R CARRIES OUT USUAL SOCIAL ACTIVITIES
398,physacts,TO WHAT EXTENT R CAN ACCOMPLISH EVERYDAY PHYSICAL ACTIVITIES
399,emoprobs,"IN THE PAST 7 DAYS, HOW OFTEN R HAS BEEN BOTHERED BY EMOTIONAL PROBLEMS"
400,fatigue,"IN THE PAST 7 DAYS, R'S AVERAGE FATIGUE"
401,ratepain,"IN THE PAST 7 DAYS, R'S AVERAGE PAIN"
402,abfelegl,WOMEN ONLY: WOMEN SHOULD BE ABLE TO HAVE LEGAL ABORTIONS
403,abmelegl,MEN ONLY: WOMEN SHOULD BE ABLE TO HAVE LEGAL ABORTIONS
404,abmoral,R HAS A MORAL OPPOSITION TO ABORTION
405,abinspay,SHOULD PEOPLE BE ABLE TO USE HEALTH INSURANCE FOR ABORTION - VER Y
406,natnotice,"WATER, WILDLIFE, ETC.)"
407,natviews,"I HAVE VIEWS OF NATURE (TREES, LAWNS, GARDENS, WATER, ETC.) WHEN I AM HOME"
408,nataccess,TRAILS
409,nattime,"TRAILS, AT LEAST ONCE A WEEK"
410,natsat,I AM SATISFIED WITH MY DAY TO DAY EXPERIENCE OF NATURE
411,natrelax,NATURAL ENVIRONMENTS ARE PEACEFUL AND RELAXING
412,natactive,"CYCLING, SPORTS, ETC"
413,natmeet,COMMUNITY
414,nattimeok,I SPEND AS MUCH TIME AS I WOULD LIKE IN NATURAL ENVIRONMENTS
415,natlack,THERE IS A LACK OF INTERESTING ACTIVITIES IN NATURAL ENVIRONMENTS
416,numpets,HOW MANY PETS R'S FAMILY HAS
417,whynopet,REASON WHY R'S FAMILY HAS NO PET
418,dog,DOG
419,cat,CAT
420,smammal,"SMALL MAMMAL (RABBIT, GERBIL, HAMSTER)"
421,bird,BIRD
422,fish,FISH
423,reptil,"REPTILE (TURTLE, SNAKE, LIZARD)"
424,horse,HORSE
425,pig,PIG
426,goat,GOAT
427,othpet,OTHER PET
428,petplay,HOW OFTEN R SPENDS TIME EACH DAY PLAYING WITH OR TRAINING PET
429,petcmfrt,HOW OFTEN R SEEKS PET FOR COMFORT WHEN FEELING BAD
430,petfam,HOW OFTEN R CONSIDERS PET MEMBER OF FAMILY
431,ownstock,R HAS STOCK IN R'S COMPANY
432,stockval,TOTAL DOLLAR VALUE OF R'S STOCK
433,stockops,R HOLD ANY STOCK OPTIONS OF R'S COMPANY
434,extrapay,ELIGIBLE FOR PERFORMANCE BASED PAY
435,compperf,SIZE OF PERF BASED PAY DEPEND ON PROFITS
436,deptperf,SIZE OF PERF BASED PAY DEPEND ON WORKGROUP
437,indperf,SIZE OF PERF BASED PAY DEPEND ON INDIVIDUAL
438,extraval,TOTAL DOLLAR VALUE OF PAY IN PREVIOUS YEAR
439,extrayr,YEAR OF THE MOST RECENT PERF BASED PAYMENTS
440,yearval,TOTAL DOLLAR VALUE OF PAYMENTS IN THAT YEAR
441,numemps,NUMBER OF EMPLOYEE FOR THE SELF-EMPLOYED
442,wrkslffam,DOES OR DID R WORK ON THEIR OWN FAMILY BUSINESS OR FARM
443,newsfrom,MAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
444,scifrom,MAIN SOURCE OF INFORMATION ABOUT SCIENCE AND TECHNOLOGY
445,seeksci,PROBABLE SOURCE OF INFORMATION ABOUT SCIENTIFIC ISSUES
446,nextgen,SCIENCE & TECH. GIVE MORE OPPORTUNITIES TO NEXT GENERATION
447,toofast,SCIENCE MAKES OUR WAY OF LIFE CHANGE TOO FAST
448,advfront,SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
449,astrolgy,EVER READ A HOROSCOPE OR PERSONAL ASTROLOGY REPORT
450,astrosci,ASTROLOGY IS SCIENTIFIC
451,scibnfts,BENEFITS OF SCI RESEARCH OUTWEIGH HARMFUL RESULTS
452,balpos,SCI RESEARCH IS STRONGLY IN FAVOR OF BENEFITS
453,balneg,SCI RESEARCH IS STRONGLY IN FAVOR OF HARMFUL RESULTS
454,scistudy,R HAS CLEAR UNDERSTANDING OF SCIENTIFIC STUDY
455,scitext,WHAT IT MEANS TO R TO STUDY SCIENTIFICALLY
