Mnemonic      Mnemonic description
CODEG         PARTNER'S HIGHEST DEGREE
DEGREE        R'S HIGHEST DEGREE
                                              Page 3                                 Index
PADEG         FATHER'S HIGHEST DEGREE
MADEG         MOTHERS HIGHEST DEGREE
SPDEG         SPOUSE'S HIGHEST DEGREE
MAJOR1        COLLEGE MAJOR 1
MAJOR2        COLLEGE MAJOR 2
DIPGED        DIPLOMA, GED, OR OTHER
SPDIPGED      SPOUSE DIPLOMA, GED, OR OTHER
CODIPGED      PARTNER DIPLOMA, GED, OR OTHER
COSECTOR      TYPE OF COLLEGE PARTNER ATTENDED
WHENHS        WHEN RECEIVED HS DEGREE
WHENCOL       WHEN RECEIVED COLLEGE DEGREE
SECTOR        TYPE OF COLLEGE RESPONDENT ATTENDED
EFTOTLT       TOTAL NUMBER OF STUDENTS ENROLLED IN COLLEGE RESPONDENT ATTENDED
BARATE        RATE OF BA DEGREE EARNING IN COLLEGE RESPONDENT ATTENDED
GRADTOUNDER ATTENDED
VOEDCOL       NON-COLLEGE POSTSECONDARY EDUCATION (VOEDNME1)
VOEDNME1      POSTSECONDARY INSTITUTION ATTENDED FOR CREDIT
VOEDNCOL      NON-COLLEGE POSTSECONDARY EDUCATION (VOEDNME2)
VOEDNME2      POSTSECONDARY INSTITUTION ATTENDED FOR CREDIT
SPSECTOR      TYPE OF COLLEGE SPOUSE ATTENDED
SPEFTOTLT     TOTAL NUMBER OF STUDENTS ENROLLED IN COLLEGE SPOUSE ATTENDED
SPBARATE      RATE OF BA DEGREE EARNING IN COLLEGE SPOUSE ATTENDED
SPGRADTOUNDER ATTENDED
COBARATE      RATE OF BA DEGREE EARNING AT COLLEGE PARTNER ATTENDED
COGRADTOUNDERRATIO OF GRADUATE TO UNDERGRADUATE STUDENTS AT COLLEGE PARTNER ATTENDED
COEFTOTLT     TOTAL NUMBER OF STUDENTS ENROLLED AT COLLEGE PARTNER ATTENDED
SEX           RESPONDENTS SEX
RACE          RACE OF RESPONDENT
RES16         TYPE OF PLACE LIVED IN WHEN 16 YRS OLD
REG16         REGION OF RESIDENCE, AGE 16
MOBILE16      GEOGRAPHIC MOBILITY SINCE AGE 16
FAMILY16      LIVING WITH PARENTS WHEN 16 YRS OLD
FAMDIF16      REASON NOT LIVING WITH PARENTS
MAWORK        MOTHERS EMPLOYMENT SINCE MARRIAGE
MAWKBABY      MOTHERS EMPLOYMENT BEFORE FIRST GRADE
MAWKBORN      MOTHERS EMPLOYMENT AFTER R WAS BORN
MAWK16        MOTHERS EMPLOYMENT WHEN R GROWING UP
MAWRKGRW      MOTHERS EMPLOYMENT WHEN R WAS 16
INCOM16       R'S FAMILY INCOME WHEN 16 YRS OLD
BORN          WAS R BORN IN THIS COUNTRY
PARBORN       WERE R'S PARENTS BORN IN THIS COUNTRY
GRANBORN      HOW MANY GRANDPARENTS BORN OUTSIDE U.S.
HOMPOP        NUMBER OF PERSONS IN HOUSEHOLD
BABIES        HOUSEHOLD MEMBERS LESS THAN 6 YRS OLD
PRETEEN       HOUSEHOLD MEMBERS 6 THRU 12 YRS OLD
TEENS         HOUSEHOLD MEMBERS 13 THRU 17 YRS OLD
ADULTS        HOUSEHOLD MEMBERS 18 YRS AND OLDER
UNRELAT       NUMBER IN HOUSEHOLD NOT RELATED
EARNRS        HOW MANY IN FAMILY EARNED MONEY
INCOME        TOTAL FAMILY INCOME
RINCOME       RESPONDENTS INCOME
INCOME72      TOTAL FAMILY INCOME
                                           Page 4 Index
INCOME77 TOTAL FAMILY INCOME
RINCOM77 RESPONDENTS INCOME
INCOME82 TOTAL FAMILY INCOME
RINCOM82 RESPONDENTS INCOME
INCOME86 TOTAL FAMILY INCOME
RINCOM86 RESPONDENTS INCOME
INCOME91 TOTAL FAMILY INCOME
RINCOM91 RESPONDENTS INCOME
INCOME98 TOTAL FAMILY INCOME
RINCOM98 RESPONDENTS INCOME
INCOME06 TOTAL FAMILY INCOME
RINCOM06 RESPONDENTS INCOME
INCOME16 TOTAL FAMILY INCOME
RINCOM16 RESPONDENTS INCOME
REGION   REGION OF INTERVIEW
XNORCSIZ EXPANDED NORC SIZE CODE
SRCBELT  SRC BELTCODE
SIZE     SIZE OF PLACE IN 1000S
DOTDATA  D.O.T. CODE - RELATION TO DATA
DOTPEOP  D.O.T. CODE - RELATION TO PEOPLE
DOTTHNG  D.O.T. CODE - RELATION TO THINGS
DOTGED   D.O.T. CODE - GENERAL EDUC DEVELOP.
DOTSVP   D.O.T. CODE - SPECIFIC VOCAT. PREP
DOTPRES  TEMME PRESTIGE SCALE
SPDOTDAT SP. D.O.T. CODE - RELATION TO DATA
SPDOTPEO SP. D.O.T. CODE - RELATION TO PEOPLE
SPDOTTHN SP. D.O.T. CODE - RELATION TO THINGS
SPDOTGED SP. D.O.T. CODE - GENERAL EDUC DEVELOP.
SPDOTSVP SP. D.O.T. CODE - SPECIFIC VOCAT. PREP
SPDOTPRE SP. TEMME PRESTIGE SCALE
PADOTDAT FA. D.O.T. CODE - RELATION TO DATA
PADOTPEO FA. D.O.T. CODE - RELATION TO PEOPLE
PADOTTHN FA. D.O.T. CODE - RELATION TO THINGS
PADOTGED FA. D.O.T. CODE - GENERAL EDUC DEVELOP.
PADOTSVP FA. D.O.T. CODE - SPECIFIC VOCAT. PREP
PADOTPRE FA. TEMME PRESTIGE SCALE
PARTYID  POLITICAL PARTY AFFILIATION
VOTE68   DID R VOTE IN 1968 ELECTION
PRES68   VOTE FOR HUMPHREY, NIXON, OR WALLACE
IF68WHO  WHO WOULD R HAVE VOTED FOR-1968 ELECTION
VOTE72   DID R VOTE IN 1972 ELECTION
PRES72   VOTE FOR MCGOVERN OR NIXON
IF72WHO  WHO WOULD R HAVE VOTED FOR-1972 ELECTION
VOTE76   DID R VOTE IN 1976 ELECTION
PRES76   VOTE FOR CARTER OR FORD
IF76WHO  WHO WOULD R HAVE VOTED FOR-1976 ELECTION
VOTE80   DID R VOTE IN 1980 ELECTION
PRES80   VOTE FOR CARTER, REAGAN OR ANDERSON
IF80WHO  WHO WOULD R HAVE VOTED FOR-1980 ELECTION
VOTE84   DID R VOTE IN 1984 ELECTION
PRES84   VOTE FOR REAGAN OR MONDALE
IF84WHO  WHO WOULD R HAVE VOTED FOR-1984 ELECTION
                                        Page 5       Index
VOTE88   DID R VOTE IN 1988 ELECTION
PRES88   VOTE FOR DUKAKIS OR BUSH
IF88WHO  WHO WOULD R HAVE VOTED FOR-1988 ELECTION
VOTE92   DID R VOTE IN 1992 ELECTION
PRES92   VOTE FOR CLINTON, BUSH, PEROT
IF92WHO  WHO WOULD R HAVE VOTED FOR-1992 ELECTION
VOTE96   DID R VOTE IN 1996 ELECTION
PRES96   VOTE FOR CLINTON, DOLE, PEROT
IF96WHO  WHO WOULD R HAVE VOTED FOR-1996 ELECTION
VOTE00   DID R VOTE IN 2000 ELECTION
PRES00   VOTE FOR GORE, BUSH, NADER
IF00WHO  WHO WOULD R HAS VOTED FOR IN 2000 ELECTION
VOTE04   DID R VOTE IN 2004 ELECTION
PRES04   VOTE FOR KERRY, BUSH, NADER
IF04WHO  WHO WOULD R HAS VOTED FOR IN 2004 ELECTION
VOTE08   DID R VOTE IN 2008 ELECTION
PRES08   VOTE OBAMA OR MCCAIN
IF08WHO  WHO YOU WOULD HAVE VOTED FOR
VOTE12   DID R VOTE IN 2012 ELECTION
PRES12   VOTE OBAMA OR ROMNEY
IF12WHO  WHO WOULD R HAVE VOTED FOR IN 2012 ELECTION
VOTE16   DID R VOTE IN 2016 ELECTION
PRES16   VOTE TRUMP OR CLINTON
IF16WHO  WHO WOULD R HAVE VOTED FOR IN 2016 ELECTION
POLVIEWS THINK OF SELF AS LIBERAL OR CONSERVATIVE
POLVIEWY LIBERAL OR CONSERVATIVE-VERSION Y
POLVIEWX LIBERAL OR CONSERVATIVE-VERSION X
NATSPAC  SPACE EXPLORATION PROGRAM
NATENVIR IMPROVING & PROTECTING ENVIRONMENT
NATHEAL  IMPROVING & PROTECTING NATIONS HEALTH
NATCITY  SOLVING PROBLEMS OF BIG CITIES
NATCRIME HALTING RISING CRIME RATE
NATDRUG  DEALING WITH DRUG ADDICTION
NATEDUC  IMPROVING NATIONS EDUCATION SYSTEM
NATRACE  IMPROVING THE CONDITIONS OF BLACKS
NATARMS  MILITARY, ARMAMENTS, AND DEFENSE
NATAID   FOREIGN AID
NATFARE  WELFARE
NATROAD  HIGHWAYS AND BRIDGES
NATSOC   SOCIAL SECURITY
NATMASS  MASS TRANSPORTATION
NATPARK  PARKS AND RECREATION
NATCHLD  ASSISTANCE FOR CHILDCARE
NATSCI   SUPPORTING SCIENTIFIC RESEARCH
NATENRGY DEVELOPING ALTERNATIVE ENERGY SOURCES
NATSPACY SPACE EXPLORATION:VERSION Y
NATENVIY THE ENVIRONMENT:VERSION Y
NATHEALY HEALTH:VERSION Y
NATCITYY ASSISTANCE TO BIG CITIES:VERSION Y
NATCRIMY LAW ENFORCEMENT:VERSION Y
NATDRUGY DRUG REHABILITATION:VERSION Y
NATEDUCY EDUCATION:VERSION Y
                                         Page 6   Index
NATRACEY ASSISTANCE TO BLACKS:VERSION Y
NATARMSY NATIONAL DEFENSE:VERSION Y
NATAIDY  ASSISTANCE TO OTHER COUNTRIES:VER Y
NATFAREY ASSISTANCE TO THE POOR:VERSION Y
NATSPACZ SPACE EXPLORATION:VERSION Z
NATENVIZ IMPROVING THE ENVIRONMENT:VERSION Z
NATHEALZ IMPROVING HEALTH:VERSION Z
NATCITYZ SOLVING PROBLEMS OF BIG CITIES:VER Z
NATCRIMZ REDUCING CRIME:VERSION Z
NATDRUGZ REDUCING DRUG ADDICTION:VERSION Z
NATEDUCZ IMPROVING THE EDUCATION SYSTEM:VER Z
NATRACEZ IMPROVING CONDITIONS OF BLACKS:VER Z
NATARMSZ STRENGTHENING NATIONAL DEFENSE:VER Z
NATAIDZ  HELPING OTHER COUNTRIES:VERSION Z
NATFAREZ CARING FOR THE POOR:VERSION Z
NATROADZ IMPROVING HIGHWAYS AND BRIDGES:VER Z
NATSOCZ  PROTECTING SOCIAL SECURITY:VERSION Z
NATMASSZ IMPROVING MASS TRANSIT:VERSION Z
NATPARKZ IMPROVING PARKS AND RECREATION:VER Z
EQUAL1   EVERYONE SHOULD LOOK OUT FOR SELF
EQUAL2   BUSINESS PROFITS BENEFIT ALL
EQUAL3   GOVT SHLD INSURE JOBS AND STABLE PRICES
EQUAL4   RESPONSIBILITY OF GOVT TO MEET NEEDS
EQUAL5   SOCIAL WELFARE BENEFITS ARE DISINCENTIVE
EQUAL6   ONE IS ABLE TO LIVE WELL IN AMERICA
EQUAL7   BUSINESS PROFITS ARE DISTRIBUTED FAIRLY
EQUAL8   SOCIAL STANDING DUE TO ABILITY
USCLASS1 TRADITIONAL CLASS DIVISIONS STILL REMAIN
USCLASS2 ACHIEVEMENT DEPENDS ON FAMILY BACKGROUND
USCLASS3 ACHIEVEMENT DEPENDS ON EDUC AND ABILITY
USCLASS4 ONES OWN EFFORTS DON'T COUNT
USCLASS5 PERSONAL INCOME NOT DETERMINED BY WORK
USCLASS6 DIFFERENCES IN CLASS ARE AN INCENTIVE
USCLASS7 DIFFERENCES IN CLASS REFLECT OWN EFFORT
USCLASS8 SOCIAL DIFFERENCES ARE ACCEPTABLE
EDUCOP   EQUAL OPPORTUNITY TO OBTAIN EDUCATION?
GOVCARE  GOVT CONCERN FOR SOCIAL WELFARE
EQWLTH   SHOULD GOVT REDUCE INCOME DIFFERENCES
EQWLTHY  GOVT REDUCE INCOME DIFFERENCES-VERSION Y
TAX      R'S FEDERAL INCOME TAX
SPKATH   ALLOW ANTI-RELIGIONIST TO SPEAK
COLATH   ALLOW ANTI-RELIGIONIST TO TEACH
LIBATH   ALLOW ANTI-RELIGIOUS BOOK IN LIBRARY
SPKSOC   ALLOW SOCIALIST TO SPEAK
COLSOC   ALLOW SOCIALIST TO TEACH
LIBSOC   ALLOW SOCIALISTS BOOK IN LIBRARY
SPKRAC   ALLOW RACIST TO SPEAK
COLRAC   ALLOW RACIST TO TEACH
LIBRAC   ALLOW RACISTS BOOK IN LIBRARY
SPKCOM   ALLOW COMMUNIST TO SPEAK
COLCOM   SHOULD COMMUNIST TEACHER BE FIRED
LIBCOM   ALLOW COMMUNISTS BOOK IN LIBRARY
                                          Page 7                  Index
SPKMIL   ALLOW MILITARIST TO SPEAK
COLMIL   ALLOW MILITARIST TO TEACH
LIBMIL   ALLOW MILITARISTS BOOK IN LIBRARY
SPKHOMO  ALLOW HOMOSEXUAL TO SPEAK
COLHOMO  ALLOW HOMOSEXUAL TO TEACH
LIBHOMO  ALLOW HOMOSEXUALS BOOK IN LIBRARY
SPKMSLM  ALLOW MUSLIM CLERGYMEN PREACHING HATRED OF THE US
COLMSLM  ALLOW ANTI-AMERICAN MUSLIM CLERGYMEN TEACHING IN COLLEGE
LIBMSLM  ALLOW ANTI-AMERICAN MUSLIM CLERGYMEN'S BOOKS IN LIBRARY
CAPPUN2  DOES R FAVOR CAPITAL PUNISHMENT
CAPPUN   FAVOR OR OPPOSE DEATH PENALTY FOR MURDER
CAPIMP   IMPORTANCE OF DEATH PENALTY ISSUE TO R
CAPINFO  HOW MUCH INFO R HAS ON DEATH PENALTY
CAPFIRM  HOW FIRM IS R'S OPINION OF DEATH PENALTY
GUNLAW   FAVOR OR OPPOSE GUN PERMITS
GUNIMP   IMPORTANCE OF GUN CONTROL ISSUE TO R
GUNINFO  HOW MUCH INFO DOES R HAVE ON GUN CONTROL
GUNFIRM  HOW FIRM IS R'S OPINION ON GUN CONTROL
COURTS   COURTS DEALING WITH CRIMINALS
COURTSY  COURTS DEALING WITH CRIMINALS-VERSION Y
CRIMIMP  IMPORTANCE OF CRIME ISSUE TO R
CRIMINFO HOW MUCH INFO DOES R HAVE ON CRIME ISSUE
CRIMFIRM HOW FIRM IS R'S OPINION ON CRIME ISSUE
LAWIMP   IMPORTANCE OF LAW ENFORCEMENT ISSUE TO R
LAWINFO  HOW MUCH INFO DOES R HAVE ON LAW ISSUE
LAWFIRM  HOW FIRM IS R'S OPINION ON LAW ISSUE
WIRTAP   WIRETAPPING
GRASS    SHOULD MARIJUANA BE MADE LEGAL
GRASSY   SHOULD MARIJUANA BE LEGAL-VERSION Y
RELIG    R'S RELIGIOUS PREFERENCE
DENOM    SPECIFIC DENOMINATION
OTHER    OTHER PROTESTANT DENOMINATIONS
OTHJEW   CONSIDER SELF TO BE JEWISH
JEW      WHAT SORT OF JEW R IS
JEWAJ    WHAT SORT OF JEW R IS
FUND     HOW FUNDAMENTALIST IS R CURRENTLY
ATTEND   HOW OFTEN R ATTENDS RELIGIOUS SERVICES
MAATTEND HOW OFTEN MA ATTENDED RELIGIOUS SERVICES
PAATTEND HOW OFTEN PA ATTENDED RELIGIOUS SERVICES
SPATTEND HOW OFTEN SP ATTENDS RELIGIOUS SERVICES
RELITEN  STRENGTH OF AFFILIATION
RELITENA STRENGTH OF AFFILIATION
POSTLIFE BELIEF IN LIFE AFTER DEATH
POSTLF1  LIFE OF PEACE AND TRANQUILITY
POSTLF2  LIFE OF INTENSE ACTION
POSTLF3  LIKE HERE ON EARTH ONLY BETTER
POSTLF4  LIFE WITHOUT MANY EARTHLY JOYS
POSTLF5  PALE OR SHADOWY FORM OF LIFE
POSTLF6  A SPIRITUAL LIFE INVOLVING MIND NOT BODY
POSTLF7  PARADISE OF PLEASURES AND DELIGHTS
POSTLF8  PLACE OF LOVING INTELLECTUAL COMMUNION
POSTLF9  UNION WITH GOD
                                         Page 8            Index
POSTLF10 REUNION WITH LOVED ONES
LIKEDIFF AFTERLIFE CONTRAST: BETTER OR LACKING
MINDBODY AFTERLIFE CONTRAST: SPIRITUAL OR SENSUAL
RESTACT  AFTERLIFE CONTRAST: PEACEFUL OR ACTION
PALEFULL AFTERLIFE CONTRAST: SHADOWS OR FULL
PRAY     HOW OFTEN DOES R PRAY
DEJAVU   THOUGHT ONE WAS SOMEPLACE BEFORE
ESP      FELT IN TOUCH WITH SOMEONE FAR AWAY
VISIONS  PERCEIVED EVENTS AT GREAT DISTANCE
SPIRITS  FELT IN TOUCH WITH DECEASED PERSON
GRACE    HAD POWERFUL RELIGIOUS EXPERIENCE
NEARGOD  HOW CLOSE DOES R FEEL TO GOD
JUDGE    IMAGE OF GOD AS JUDGE
REDEEMER IMAGE OF GOD AS REDEEMER
LOVER    IMAGE OF GOD AS LOVER
MASTER   IMAGE OF GOD AS MASTER
MOTHER   IMAGE OF GOD AS MOTHER
CREATOR  IMAGE OF GOD AS CREATOR
FATHER   IMAGE OF GOD AS FATHER
SPOUSE   IMAGE OF GOD AS SPOUSE
FRIEND   IMAGE OF GOD AS FRIEND
KING     IMAGE OF GOD AS KING
LIBERATR IMAGE OF GOD AS LIBERATOR
HEALER   IMAGE OF GOD AS HEALER
MAPA     CONTRAST BETWEEN MOTHER AND FATHER
MASTERSP CONTRAST BETWEEN MASTER AND SPOUSE
JUDGELUV CONTRAST BETWEEN JUDGE AND LOVER
FRNDKING CONTRAST BETWEEN FRIEND AND KING
CRTRHEAL CONTRAST BETWEEN CREATOR AND HEALER
RDEEMLIB CONTRAST BETWEEN REDEEMER AND LIBERATOR
POPESPKS POPE IS INFALLIBLE ON MATTER'S OF FAITH OR MORALS
RELIG16  RELIGION IN WHICH RAISED
DENOM16  DENOMINATION IN WHICH R WAS RAISED
OTH16    OTHER PROTESTANT DENOMINATIONS
OTHJEW16 R RAISED AS A JEW
JEW16    WHAT SORT OF JEW R WAS AT AGE 16
JEW16AJ  WHAT SORT OF JEW R WAS AT AGE 16
FUND16   HOW FUNDAMENTALIST WAS R AT AGE 16
SPREL    SPOUSE'S RELIGIOUS PREFERENCE
SPDEN    SPECIFIC DENOMINATION, SPOUSE
SPOTHER  OTHER PROTESTANT DENOMINATIONS
SPOTHJEW SPOUSE CONSIDERS SELF JEWISH
SPJEW    WHAT SORT OF JEW IS R'S SPOUSE CURRENTLY
SPJEWAJ  WHAT SORT OF JEW IS R'S SPOUSE CURRENTLY
SPFUND   HOW FUNDAMENTALIST IS SPOUSE CURRENTLY
SPREL16  RELIGION IN WHICH SPOUSE RAISED
SPDEN16  DENOMINATION IN WHICH SPOUSE RAISED
SPOTH16  OTHER PROTESTANT DENOMINATIONS
SPJEW16  WHAT SORT OF JEW WAS R'S SPOUSE AT 16
SPFUND16 HOW FUNDAMENTALIST WAS SPOUSE AT 16
COREL    PARTNER'S RELIGIOUS PREFERENCE
CODEN    PARTNER'S DENOMINATION
                                         Page 9           Index
COOTHER  OTHER PROTESTANT DENOMINATIONS
COJEW    WHAT SORT OF JEW IS R'S PARTNER CURRENTLY
COFUND   HOW FUNDAMENTALIST IS PARTNER'S CURRENT RELIGION
TITHING  HOW MUCH DOES R GIVE TO RELIGION
PRAYER   BIBLE PRAYER IN PUBLIC SCHOOLS
PRAYERY  BIBLE PRAYER IN SCHOOLS-VERSION Y
PRAYERX  BIBLE PRAYER IN SCHOOLS:VERSION Z
BIBLE    FEELINGS ABOUT THE BIBLE
BIBLEY   FEELINGS ABOUT THE BIBLE:VERSION Z
WORLD1   WORLD IMAGE:MUCH EVIL VS. MUCH GOOD
WORLD2   WORLD IMAGE:THE GOOD MUST ACT VS. NOT
WORLD3   WORLD IMAGE:GOD NOT HERE VS. HERE
WORLD4   WORLD IMAGE:MAN IS GOOD VS. CORRUPT
WORLD5   WORLD IMAGE:ARTS ARE GOOD VS. NOT
WORLD6   WORLD IMAGE:CHAOS VS. HARMONY
WORLD7   WORLD IMAGE:ACH. REVEALS GOD VS. NOT
LIBTEMP  FEELING THERMOMETER:LIBERALS
CONTEMP  FEELING THERMOMETER:CONSERVATIVES
PROTTEMP FEELING THERMOMETER:PROTESTANTS
CATHTEMP FEELING THERMOMETER:CATHOLICS
JEWTEMP  FEELING THERMOMETER:JEWS
MSLMTEMP FEELING THERMOMETER:MUSLIMS
FEPRIEST R FAVORS WOMEN AS PRIESTS
FECLERGY R FAVORS WOMEN AS MINISTERS
RELGRADE GRADE GIVEN RELIGION
RACMAR   FAVOR LAW AGAINST RACIAL INTERMARRIAGE
RACMAR10 FAVOR LAW AGAINST RAC INTRMAR 10 YRS AGO
RACDIN   OBJECT TO OPP. RACE HOME FOR DINNER
RACPUSH  BLACKS SHOULDN'T PUSH
RACSEG   WHITES HAVE RIGHT TO SEG. NEIGHBORHOOD
RACOPEN  VOTE ON OPEN HOUSING LAW
RACLIVE  ANY OPP. RACE IN NEIGHBORHOOD
RACCLOS  ANY OPP. RACE LIVING CLOSE TO R
RACDIS   HOW FAR ARE CLOSEST OPP. RACE
RACINTEG WILL NEIGHBORHOOD BECOME ALL BLACK
RACOBJCT NEIGHBORHOOD INTEGRATED BY SAME SES
RACHOME  OPP. RACE HOME FOR DINNER RECENTLY
RACSCHOL SHOULD WHITES & BLACKS GO TO SAME SCHOOL
RACFEW   CHILDREN TO SCHOOL WITH OPPOSITE RACE
RACHAF   CHILDREN TO SCHOOL HALF OPPOSITE RACE
RACMOST  CHILDREN TO SCHOOL MOSTLY OPPOSITE RACE
BUSING   ATTITUDE TOWARD RACIAL BUSING
BUSING10 FAVOR BUSING 10 YRS AGO
RACPRES  WOULD VOTE FOR BLACK PRESIDENT
RACJOB   EQUAL OPPORTUNITIES ON JOBS
RACCHURH ATTEND CHURCH WITH OTHER RACE
COLOR    R'S SKIN COLOR
RACNAME  PREFERRED RACIAL NAME
RACHISCH HOW INTEGRATED WAS R'S HIGH SCHOOL
RACMIX   HOW MANY FRIENDS ARE WHITE
RACNEIGH NEIGHBORHOOD R WOULD LIKE TO LIVE IN
RACNOBUY EVER BOYCOTT CERTAIN PRODUCTS
                                        Page 10        Index
RACTRUST TRUST WHITE PEOPLE
RACPARTY WHICH PARTY HELPS BLACKS MORE
