gssvar,s,q,r
SEXSEX5,exclusively female,exclusively female,both male and female
relatsex,"yes, in relationship",,"yes, in relationship"
evcrack,no,,yes
hivtest,no,yes,no
HIVTEST1,e,,c
sexornt,heterosexual or straight,,bisexual
sexnow,man,man,transgender
GENEGOO2,e,,e
coninc,d,c,b
conrinc,c,c,e
ETH2,other spanish,,denmark
yearsusa,e,,d
vetyears,none,,2 to 4  years
dwelown,own or is buying,,other
DWELOWN16,owned or was buying,,other (specify)
worda,correct,incorrect,correct
worde,correct,correct,incorrect
wordf,correct,,incorrect
wordg,incorrect,incorrect,correct
wordi,correct,correct,incorrect
wordsum,c,,b
GENDER1,male,,female
OLD1,e,,b
OLD2,e,,e
OLD3,e,,c
OLD4,e,e,c
OLD6,e,,e
OLD8,e,,b
OLD9,e,,d
OLD11,e,,b
RELHHD2,spouse,,"other non-relative-employee,boarder-"
RELHHD3,"child,natural or adopted,stepchild","child,natural or adopted,stepchild",child of non-relative
respnum,2nd person,1st person,4th person
HHTYPE1,married couple w children,,"married couple, no children"
rplace,spouse,head of household,child
rvisitor,r. is household member,,r. is visitor
visitors,no visitors,,2 visitors
RELHH3,"child, unsp",,"partner,girl(boy)friend"
RELHH4,"child, unsp",,adopted child
RELSP4,"child, not specified",,friend
ISCO88,c,,e
ISCO08,computer network professionals,,food and related products machine operators
MAISCO08,general office clerks,domestic cleaners and helpers,home-based personal care workers
SPISCO08,agricultural technicians,secondary education teachers,web and multimedia developers
SEI10EDUC,d,c,d
PASEI10INC,d,b,e
MASEI10,c,c,c
SPSEI10INC,c,,b
COSEI10EDUC,e,,d
COSEI10INC,e,,b
COPRES10,e,,c
WHOELSE1,no,,no
WHOELSE3,no,,no
WHOELSE4,no,,no
WHOELSE6,yes,,no
intid,125,,51
feelevel,d,,c
lngthinv,90,,93
intage,68,64,33
intethn,white,,black
intsex,female,female,female
intyrs,23,,0
consent,r consents to recording interview,,r consents to recording interview
ballot,ballot b,,ballot c
version,2,3,2
phase,phase one - initial cases,phase one - initial cases,phase two - sub sampled cases
neisafe,very safe,,very safe
wtss,c,,c
wtssnr,c,c,b
