gssvar,s,q,r
mhdiagno,yes,no,yes
prvdhlth,private companies/for-profit organizations,,non-profit organizations/charities/cooperatives
POLEFF11,agree,neither agree nor disagree,strongly agree
posslqy,i am married and living in the same household as my husband or wife.,,"i have a steady partner, and we live in the same household."
demands,"no, never",,"no, never"
knwcuttr,family or relative,,someone else i know
knwlawyr,family or relative,close friend,family or relative
smallgap,disagree,,strongly agree
govlazy,disagree,,strongly disagree
partpart,never,,once in the past year
hlphome,close family member,,more distant family member
hlppaper,private companies,other persons,family members or close friends
LONELY2,rarely,,very often
LONELY3,rarely,,very often
trbigbus,c,,a
dinefrds,several times a year,once a month,two to three times a month
newfrds,rarely,,rarely
conwkday,20-49 people,5-9 people,100 or more people
cntctpar,my parents are no longer alive,,the parent i have contact with most frequently lives with me
cntctfam,several times a week,,i do not have other family members
cntctfrd,several times a week,,the close friend i have contact with the most frequently lives with me
healthissp,excellent,,poor
pilingup,rarely,never,rarely
mygoals,mostly true,,mostly untrue
satlife,mostly satisfied,,mostly satisfied
numlangs,one language,,four or more languages
goodlife,neither,,neither
meovrwrk,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
localnum,"1,000-1,999",,10-49
relactiv,nearly every week,,nearly every week
cantrust,always trusted,,usually trusted
LETIN1A,increased a little,,remain the same as it is
partners,no partners,,"1 or more, # unknown"
numwomen,c,,d
PARTNRS5,no partners,,more than 100 partners
evpaidsx,no,,no
condom,used last time,,used last time
relatsex,"yes, in relationship",,"no, no relationship"
HIVTEST1,e,,c
sexornt,heterosexual or straight,heterosexual or straight,"gay, lesbian, or homosexual"
sexnow,women,women,transgender
realinc,e,,c
realrinc,c,,e
coninc,e,,b
conrinc,d,c,c
ethnic,ireland,other spanish,sweden
ETH3,ireland,,spain
hispanic,not hispanic,,costa rican
vetyears,none,,less than 2 yrs
dwelown,own or is buying,own or is buying,pays rent
DWELOWN16,owned or was buying,,paid rent
wordf,correct,,incorrect
wordi,correct,,incorrect
GENDER1,male,,female
OLD1,c,c,b
MAR1,married,,married
RELATE2,spouse,spouse,parent or parent-in-law
OLD2,d,,c
OLD4,e,,c
OLD5,e,,d
OLD9,e,e,d
respnum,2nd person,,6th person
famgen,1 gen,1 gen,"2 gens, grandchldrn"
rplace,spouse,spouse,other relative
rvisitor,r. is household member,,r. is household member
visitors,no visitors,no visitors,no visitors
RELHH2,spouse,"child, unsp",other non-rlative
ISCO88,c,,e
MAISCO88,e,c,c
SPISCO88,c,b,d
ISCO08,medical imaging and therapeutic equipment technicians,nursing professionals,journalists
PAISCO08,business services and administration managers not elsewhere classified,restaurant managers,"crane, hoist and related plant operators"
SPISCO08,medical imaging and therapeutic equipment technicians,,health associate professionals not elsewhere classified
SEI10,c,,b
SEI10EDUC,d,c,e
MASEI10,e,,d
MASEI10EDUC,e,,b
MASEI10INC,e,e,c
SPSEI10INC,c,,b
COSEI10EDUC,e,,e
COSEI10INC,e,,c
COPRES10,e,,c
COPRES105PLUS,e,,c
zodiac,aries,cancer,libra
inthisp,not hispanic,not hispanic,puerto rican
WHOELSE2,no,,yes
feeused,"yes, money",,"yes, money"
lngthinv,192,134,148
intage,62,,27
intethn,white,white,hispanic
intsex,female,,male
intyrs,21,,21
ballot,ballot b,ballot b,ballot a
version,2,1,2
sampcode,601,,601
huadd,yes,yes,no
dwellpre,detached single family house,,"2-family house, 2 units one above the other"
kidsinhh,yes,no,no
incuspop,average,average,average
rgroomed,about average,,very well groomed
rweight,about the right weight,,very overweight
wtss,c,,e
wtssnr,c,,d
vstrat,3301,3301,3373
vpsu,1,1,2
