gssvar,s,q,r
wksub,yes,,no
WKSUP1,no,no,yes
union,r belongs,,r and spouse belong
UNION1,r belongs,,neither belongs
parsol,much better,,somewhat worse
kidssol,somewhat better,,much worse
fepol,disagree,,agree
chldidel,c,,d
pillok,disagree,,disagree
sexeduc,favor,,oppose
premarsx,not wrong at all,,always wrong
teensex,almst always wrg,,almst always wrg
pornlaw,illegal under 18,,illegal under 18
spanking,agree,strongly agree,strongly agree
LETDIE1,yes,no,no
polattak,yes,,no
tvhours,c,,e
coop,cooperative,,"restless,impatient"
comprend,good,good,fair
form,alternate <y>,,standard <x>
random,e,,c
fechld,disagree,,disagree
RACDIF1,yes,,yes
RACDIF2,no,,no
RACDIF4,no,,yes
savesoul,no,,yes
wlthwhts,c,,e
intlwhts,c,,e
intlhsps,c,e,e
liveblks,strongly oppose,neither favor nor oppose,strongly favor
marblk,neither favor nor oppose,,strongly favor
marhisp,neither favor nor oppose,,oppose
yousup,e,e,e
fehire,neither agree nor disagree,agree,strongly disagree
vigversn,c,b,d
charactr,not at all likely,,very likely
genetics,somewhat likely,,not at all likely
godswill,not very likely,very likely,somewhat likely
breakdwn,not very likely,somewhat likely,not at all likely
mentlill,somewhat likely,,not at all likely
imprvown,somewhat unlikely,somewhat unlikely,somewhat unlikely
vignei,probably unwilling,,probably willing
vigwork,probably unwilling,probably willing,probably willing
vigmar,probably willing,,probably unwilling
hurtoth,somewhat likely,,not likely at all
mentldoc,yes,yes,yes
mentloth,yes,,yes
selfhelp,yes,,no
rxmed,yes,,no
mustdoc,yes,,yes
mustmed,yes,,yes
dangroth,yes,,yes
KNWMW1,male,,female
KNWMW2,male,male,other
MHP1R1,child,,student/classmate
MHP2R1,parent,other family,student/classmate
CLOSETO1,c,d,c
CLOSETO3,e,,d
CLOSETO4,e,,b
SEETALK2,b,,c
SEETALK3,e,,e
SEETALK4,e,e,e
MHTREAT1,no,,yes
MHTREAT2,no,,yes
MYPROBS1,c,c,d
MYPROBS3,e,,c
MYPROBS4,e,e,c
MYPROBS5,e,,e
SEVERE1,d,c,b
SEVERE2,c,,e
SEVERE5,e,,e
DANGOTH1,c,,d
DANGOTH5,e,,c
DANGSLF2,c,,e
fammhneg,not very much,,very much
MCSDS1,True,,True
MCSDS3,False,True,False
MCSDS5,False,,True
relpersn,slight religious,,very religious
compuse,yes,yes,yes
emailmin,c,,c
wwwhr,c,,c
yearsjob,c,,d
mustwork,yes,,yes
famvswk,rarely,,often
secondwk,no,,yes
workdiff,agree,,strongly agree
safefrst,strongly agree,,strongly disagree
teamsafe,agree,,strongly disagree
safehlth,agree,,strongly agree
prodctiv,agree,,strongly disagree
wkdecide,rarely,,sometimes
promteok,not at all true,,not at all true
opdevel,somewhat true,,not too true
hlpequip,somewhat true,,not too true
wkfreedm,somewhat true,,very true
fringeok,very true,,not at all true
supcares,somewhat true,,very true
condemnd,somewhat true,somewhat true,not too true
promtefr,somewhat true,,very true
cowrkint,somewhat true,,very true
suphelp,not too true,very true,very true
wrktime,not too true,,not too true
cowrkhlp,not too true,,not at all true
fairearn,about as much as you deserve,,much less than you deserve
rincblls,yes,,yes
JOBFIND1,not easy at all to find similar job,,not easy at all to find similar job
wkageism,no,,yes
wksexism,no,,yes
wkharsex,no,,yes
wkharoth,no,,yes
physhlth,c,c,d
hlthdays,d,,e
usedup,very often,,very often
backpain,yes,,yes
hurtatwk,c,,e
slpprblm,often,,sometimes
knowschd,between 3 and 4 weeks,,one week or less
hyperten,no,,yes
depress,yes,no,yes
weight,c,,e
ntwkhard,d,,d
misswork,d,,d
LIFEIN5,c,,b
hlthphys,very good,,poor
hlthmntl,good,,poor
satsoc,good,,excellent
actssoc,fair,,fair
emoprobs,c,,d
fatigue,moderate,,mild
abmoral,not morally opposed,,not morally opposed
ABHELP1,yes,,no
ABHELP3,no,,yes
ABHELP4,yes,,no
abinspay,people should not be able,,people should be able
natnotice,strongly agree,,strongly agree
natviews,strongly agree,,strongly agree
nataccess,strongly agree,,somewhat agree
natrelax,strongly agree,,somewhat agree
PETB4,yes,,no
dog,does not have,,does not have
smammal,does not have,does not have,has
fish,does not have,,has
goat,does not have,,has
petplay,sometimes,almost always,often
petfam,almost always,,sometimes
WORKFOR1,for-profit company,,government or government agency
stockval,e,e,c
extrapay,no,no,yes
extraval,e,e,e
viszoo,e,e,e
vissci,e,,d
empinput,no,,yes
defpensn,yes,,no
mhunsure,agree,,"disagree, or"
mhdiagno,yes,,yes
ratetone,c,,d
posslqy,i am married and living in the same household as my husband or wife.,,"i have a steady partner, and we live in the same household."
firstyou,agree,,strongly disagree
helpfrds,neither agree nor disagree,strongly agree,neither agree nor disagree
knwclenr,someone else i know,,someone else i know
knwcuttr,no one,,close friend
knwnurse,close friend,someone else i know,someone else i know
knwcop,someone else i know,someone else i know,no one
knwtcher,family or relative,,no one
partvol,once in the past year,,never
hlphome,close friend,close family member,neighbor
hlpsick,close family member,close family member,neighbor
hlpadvce,close friend,close friend,someone i work with
hlpjob,private companies,,other organizations
hlpresde,family members or close friends,private companies,public services
hlpsickr,family members or close friends,,private companies
LONELY2,sometimes,,often
LONELY3,rarely,rarely,never
trcourts,c,,e
dinefrds,several times a year,,two to three times a month
cntctsib,once a week,,once a month
cntctkid, two to three times a month,,i do not have any adult children
cntctfam,less often,daily,daily
cntctfrd,several times a week,,i do not have any close friends
intcntct,c,,c
healthissp,very good,fair,very good
unhappy,often,often,very often
pilingup,rarely,,sometimes
satlife,somewhat satisfied,somewhat satisfied,completely satisfied
endsmeet,fairly easy,,fairly easy
numlangs,one language,,four or more languages
incgap,neither,,strongly agree
stress,often,always,always
localnum,10-49,,"2,000+"
befair,advntge mst time,,advntge mst time
matesex,yes,,yes
sexfreq,once a month,,2-3 times a month
nummen,c,e,c
PARTNRS5,1 partner,,more than 100 partners
SEXSEX5,exclusively female,,both male and female
condom,not used,,not used
HIVTEST2,private doctor or hmo office,,somewhere else
sexbirth,male,,intersex
sexnow,man,,women
GENEGOO2,e,,e
conrinc,c,,c
ETH1,french canada,,greece
RACECEN1,white,white,black or african american
dwelown,own or is buying,own or is buying,other
DWELOWN16,owned or was buying,,owned or was buying
wordb,correct,correct,incorrect
wordf,correct,,correct
wordh,incorrect,incorrect,correct
wordj,incorrect,,correct
wordsum,c,,d
MAR1,married,,married
MAR2,married,,divorced
RELATE3,child,child,non-relative
GENDER3,female,,female
OLD3,c,,d
WHERE3,institution,,traveling
OLD4,e,e,c
OLD6,e,e,c
OLD7,e,,b
OLD8,e,,d
OLD12,e,,e
RELHHD2,spouse,,spouse
RELHHD3,"child,natural or adopted,stepchild","child,natural or adopted,stepchild","other relative-great-aunt,grandniece,etc.-"
hhrace,white,white,amer indian
rvisitor,r. is household member,r. is household member,r. is visitor
RELHH3,"child, unsp","child, unsp","grandchild, great grandchild"
RELSP1,spouse,spouse,spouse
RELSP3,"child, not specified",parent,parent
ISCO88,d,,b
PAISCO88,c,b,b
MAISCO88,b,,e
ISCO08,electrical mechanics and fitters,sales and marketing managers,cooks
SEI10EDUC,c,,b
SEI10INC,d,,c
PASEI10INC,c,c,c
MASEI10,d,,e
MASEI10INC,d,d,c
COSEI10,e,e,e
COPRES10,e,,d
cohort,c,,b
zodiac,scorpio,,pisces
inthisp,not hispanic,,"mexican, mexican american, chicano/a"
INTRACE1,white,white,filipino
WHOELSE1,no,no,no
WHOELSE2,no,,no
WHOELSE4,no,,no
WHOELSE6,no,yes,no
intid,32,,5
lngthinv,142,,95
intethn,white,,asian
mode,in-person,in-person,over the phone
intsex,female,female,female
consent,r consents to recording interview,,r consents to recording interview
sampcode,601,655,634
hlthstrt,good,excellent,excellent
huadd,yes,yes,no
respond,high,,low
neisafe,somewhat safe,,somewhat unsafe
rlooks,attractive,,unattractive
rgroomed,well groomed,,very poorly groomed
wtss,c,c,d
vstrat,3301,3365,3368
