gssvar,s,q,r
smallgap,neither agree nor disagree,,agree
partlsc,never,,one to three times a month
partvol,never,once in the past year,once a week or more
hlpdown,close family member,,someone i work with
hlpadvce,close friend,,no one
hlpsococ,close family member,close family member,close family member
hlploan,family members or close friends,,no person or organization
hlpresde,family members or close friends,,public services
hlpsickr,family members or close friends,,other persons
LONELY1,never,never,rarely
trcourts,c,,b
fampress,"yes, but rarely",,"yes, but rarely"
dinefrds,never,,two to three times a month
conwkday,20-49 people,,50-99 people
CONF2F,about half of them,some of them,some of them
cntctpar,several times a week,,never
cntctsib,once a week,,several times a year
cntctfrd,several times a week,,never
healthissp,excellent,,very good
pilingup,rarely,,often
endsmeet,fairly difficult,,fairly easy
numlangs,one language,,two languages
goodlife,strongly agree,,agree
marhomo,agree,,neither agree nor disagree
supervis,doesnt supervise,doesnt supervise,doesnt supervise
partners,no partners,1 partner,no partners
sexfreq,once or twice,,once a month
nummen,c,c,e
PARTNRS5,1 partner,,"1 or more, # unknown"
SEXSEX5,exclusively female,exclusively male,exclusively male
evpaidsx,no,,yes
evstray,never married,,no
condom,used last time,,used last time
evcrack,no,,yes
hivtest,no,no,yes
sexnow,man,,transgender
GENEGOO2,e,,c
coninc,c,,d
conrinc,c,c,e
ETH1,american indian,germany,india
ETH3,puerto rico,,india
hispanic,not hispanic,,equadorian
RACECEN1,white,,white
RACECEN2,american indian or alaska native,,some other race
yearsusa,e,e,d
dwelling,2 units-one above,detached 1-fam house,apartment-4 stories
OLD2,e,b,e
OLD3,e,e,e
OLD5,e,e,c
OLD6,e,e,c
OLD9,e,,e
OLD10,e,e,e
OLD12,e,e,d
hhrace,white,white,"other, mixed"
HHTYPE1,single adult,,non-family w children
visitors,no visitors,,1 visitor
dateintv,803,609,610
ISCO88,c,,b
PAISCO88,e,b,b
SEI10EDUC,b,c,e
SEI10INC,b,,e
PASEI10EDUC,e,,d
PASEI10INC,e,,b
MASEI10INC,c,,c
SPSEI10,e,e,c
COSEI10INC,e,e,b
COPRES10,e,,c
zodiac,pisces,,virgo
inthisp,not hispanic,not hispanic,not hispanic
INTRACE1,white,,filipino
feeused,"yes, money",,"yes, money"
lngthinv,158,,78
intage,75,39,43
intethn,white,white,black
intsex,male,,male
ballot,ballot c,ballot c,ballot a
version,3,2,1
phase,phase one - initial cases,phase one - initial cases,phase one - initial cases
spaneng,english,,spanish
respond,high,,high
neisafe,somewhat safe,,very safe
rgroomed,about average,,very well groomed
rweight,slightly underweight,about the right weight,slightly overweight
wtss,c,c,e
