gssvar,s,q,r
polescap,yes,yes,no
news,everyday,never,once a week
tvhours,c,c,c
phone,cellphone,,refused
coop,"friendly,interested",,cooperative
comprend,good,fair,good
form,standard <x>,,standard <x>
random,c,,c
fepresch,agree,,strongly disagree
fefam,strongly disagree,agree,strongly disagree
RACDIF3,yes,yes,no
RACDIF4,no,no,yes
helppoor,b,c,e
helpsick,c,c,d
helpblk,b,c,e
god,believe but doubts,,know god exists
wlthblks,c,c,e
wlthhsps,c,,c
workwhts,c,,c
workblks,c,,c
intlhsps,c,,c
liveblks,favor,,oppose
marblk,strongly favor,oppose,neither favor nor oppose
MARAsian,strongly favor,,favor
marhisp,strongly favor,,neither favor nor oppose
marwht,strongly favor,neither favor nor oppose,strongly oppose
yousup,e,,d
fejobaff,strongly for,strongly against,against
vigversn,e,e,d
CLOSETO3,e,,b
SEETALK1,e,,d
MYPROBS1,e,,e
MYPROBS3,e,,c
MYPROBS4,e,,d
SEVERE4,e,,c
SEVERE5,e,e,c
DANGOTH1,e,c,d
DANGOTH2,e,e,d
DANGOTH4,e,,d
DANGSLF4,e,,c
relpersn,modrte religious,,very religious
webmob,yes,yes,yes
emailmin,c,,e
wwwhr,c,c,c
wwwmin,c,,d
huclean,dirty,,clean
wrktype,independent contractor/consultant/freelance worker,,work for contractor who provides workers/services
waypaid,c,c,c
wrksched,day shift,,night shift
mustwork,no,,no
wrkhome,worker works mainly at home,,more than once a week
wkvsfam,never,,rarely
famvswk,never,,never
secondwk,no,,no
workfast,disagree,,strongly agree
workdiff,agree,,agree
overwork,disagree,,strongly agree
knowwhat,agree,,agree
myskills,agree,agree,strongly agree
safetywk,agree,,strongly disagree
prodctiv,agree,,strongly disagree
trdunion,agree,agree,strongly agree
partteam,"no, i work mostly on my own",,"no, i work mostly on my own"
toofewwk,never,never,sometimes
promteok,very true,,not at all true
haveinfo,very true,very true,not too true
fringeok,not at all true,,not too true
jobsecok,not too true,,very true
wrktime,somewhat true,,not at all true
laidoff,no,,no
JOBFIND1,very easy to find similar job,very easy to find similar job,somewhat easy to find similar job
wkageism,no,,no
wksexism,no,,no
wkharsex,no,,no
physhlth,e,,e
mntlhlth,d,,d
painarms,yes,yes,yes
hurtatwk,c,,c
SATJOB1,somewhat satisfied,,not at all satisfied
knowschd,4 weeks or more,,4 weeks or more
usetech,c,,e
arthrtis,yes,no,yes
diabetes,no,,yes
depress,yes,yes,yes
weight,e,c,d
height,c,e,a
quallife,fair,,excellent
hlthmntl,fair,,poor
physacts,a little,a little,moderately
fatigue,severe,mild,mild
ratepain,e,,e
ABHELP1,yes,,yes
ABHELP2,yes,,yes
abinspay,people should be able,,people should not be able
WORKFOR1,non-profit or not-for-profit organization,,government or government agency
stockval,e,,d
extrapay,no,,no
extraval,e,c,c
numemps,c,e,c
newsfrom,tv,,other
seeksci,the internet,,family
astrosci,not at all scientific,,not at all scientific
scistudy,little understanding,,little understanding
expdesgn,500 get the drug 500 dont,,all 1000 get the drug
ODDS2,yes,,no
hotcore,False,,False
radioact,False,,True
earthsun,earth around sun,earth around sun,sun around earth
solarrev,one year,one year,other time period if volunteered
intintl,moderately interested,,very interested
intmed,very interested,moderately interested,not at all interested
intspace,moderately interested,,not at all interested
visnhist,c,,c
SCINEWS3,online newspapers,,wikipedia
scientgo,agree,,strongly agree
scientbe,strongly agree,,strongly agree
buyvalue,e,,d
empinput,no,,yes
wealth,"less than $5,000","$40,000 to $75,000",$1 million to $2 million
defpensn,no,,no
posslq,no steady partner,no steady partner,no steady partner
healthissp,fair,,excellent
goodlife,disagree,strongly agree,neither
supervis,doesnt supervise,,supervises
localnum,1-9,,50-99
abpoorw,not wrong at all,,not wrong at all
concong,very little confidence,,some confidence
conbiz,some confidence,complete confidence,very little confidence
conchurh,some confidence,,very little confidence
godchnge,"believe now, always have",,"don't believe now, never have"
afterlif,"yes, definitely","yes, definitely","no, probably not"
hell,"yes, definitely",,"yes, probably"
nihilism,disagree,strongly disagree,strongly agree
parelkid,hinduism,protestant,moslem/islam
ATTEND12,every week,,about once or twice a yr
prayfreq,several times a week,several times a week,never
relscrpt,no,,no
religcon,disagree,,agree
RELEXT1,definitely not,,probably
RELEXT3,definitely not,,probably
mywaygod,strongly agree,strongly agree,neither agree nor disagree
relpast,disagree,neither agree nor disagree,strongly disagree
relrlvnt,neither agree nor disagree,,neither agree nor disagree
muslims,somewhat negative,,somewhat negative
hindus,neither positive nor negative,,somewhat positive
buddhsts,neither positive nor negative,,very negative
atheists,neither positive nor negative,neither positive nor negative,very negative
PARTNRS5,3 partners,no partners,more than 100 partners
SEXSEX5,exclusively male,,both male and female
condom,not used,,used last time
relatsex,"no, no relationship",,"yes, in relationship"
evidu,no,no,yes
HIVTEST1,c,,c
HIVTEST2,private doctor or hmo office,,jail or prison
sexnow,women,,man
GENEGOO2,e,,c
realrinc,c,,e
ETH1,germany,,arabic
hispanic,not hispanic,not hispanic,not hispanic
RACECEN1,white,,vietnamese
mnthsusa,e,,e
vetyears,none,none,less than 2 yrs
dwelling,2 units side by side,2 units side by side,detached 1-fam house
DWELOWN16,paid rent,,paid rent
worda,correct,,incorrect
wordb,correct,,incorrect
wordd,correct,correct,incorrect
wordf,correct,,incorrect
wordg,incorrect,incorrect,correct
wordj,incorrect,,incorrect
GENDER1,female,female,female
MAR1,widowed,,widowed
OLD3,e,,b
OLD4,e,e,d
OLD5,e,,e
OLD7,e,,d
OLD8,e,,e
OLD9,e,e,c
hefinfo,1st person,1st person,2nd person
respnum,1st person,1st person,1st person
hhtype,"1adlt,0kids",,"4+adlts,2mar,0kids"
famgen,1 gen,,"2 gens, parents"
rplace,head of household,,son or daughter-in-law
ISCO88,c,d,c
MAISCO88,c,c,c
SPISCO88,e,,e
ISCO08,child care workers,,food and related products machine operators
SEI10,b,d,d
SEI10EDUC,c,c,d
PASEI10EDUC,c,,d
PASEI10INC,c,,e
MASEI10,c,c,c
MASEI10EDUC,c,,b
MASEI10INC,c,,d
SPSEI10INC,e,,b
COSEI10INC,e,,b
COPRES10,e,,b
COPRES105PLUS,e,e,c
cohort,c,b,c
WHOELSE1,no,no,yes
WHOELSE2,yes,,no
WHOELSE3,no,yes,no
WHOELSE5,no,,yes
WHOELSE6,no,,yes
intid,101,,129
feelevel,b,,e
intage,46,,45
mode,in-person,in-person,in-person
consent,r consents to recording interview,,r consents to recording interview
ballot,ballot b,,ballot c
phase,phase one - initial cases,phase one - initial cases,phase one - initial cases
spaneng,english,,spanish
huadd,yes,,no
kidsinhh,no,no,yes
respond,low,,high
rlooks,very unattractive,,very attractive
rgroomed,very poorly groomed,,well groomed
rhlthend,poor,,good
wtss,c,,d
wtssnr,c,,b
vstrat,3301,,3348
